Aspect_Ratio,Box_Office,Director,Genre,Link,Name,Original_Language,Producer,Production_Co,Rating,Release_Date_Streaming,Release_Date_Theaters,Runtime,Sound_Mix,Writer
Flat (1.85:1),$63.3M,Guillermo del Toro,"fantasy, romance",https://www.rottentomatoes.com//m/the_shape_of_water_2017,The Shape of Water,English,Guillermo del Toro,"Double Dare You, TSG Entertainment",R (Language|Graphic Nudity|Sexual Content|Violence),"Feb 23, 2018","Dec 22, 2017",2h 3m,,Guillermo del Toro
Flat (1.37:1),$271.7K,Akira Kurosawa,action,https://www.rottentomatoes.com//m/seven_samurai_1956,Seven Samurai,Japanese,Sojiro Motoki,Toho Company,,"Aug 10, 2016","Nov 19, 1956",3h 28m,Mono,Shinobu Hashimoto
Flat (1.37:1),$447.0K,Carol Reed,mystery and thriller,https://www.rottentomatoes.com//m/the_third_man,The Third Man,English,Alexander Korda,"British Lion Film Corporation, London Film Production",,"Sep 5, 2016","Feb 1, 1949",1h 44m,Mono,Graham Greene
Flat (1.37:1),$23.9K,Stanley Donen,"musical, comedy",https://www.rottentomatoes.com//m/singin_in_the_rain,Singin' in the Rain,English,Arthur Freed,Metro Goldwyn Mayer,G,"Mar 1, 2014","Apr 10, 1952",1h 42m,Mono,Betty Comden
Flat (1.37:1),,Vincente Minnelli,"musical, romance",https://www.rottentomatoes.com//m/american_in_paris,An American in Paris,English,Arthur Freed,Metro Goldwyn Mayer,,"Aug 15, 2008","Nov 9, 1951",1h 53m,Mono,Alan Jay Lerner
Flat (1.85:1),$34.2M,Yorgos Lanthimos,"comedy, drama",https://www.rottentomatoes.com//m/the_favourite_2018,The Favourite,English (United Kingdom),Ceci Dempsey,"Waypoint Entertainment, Film4",R (Nudity|Language|Strong Sexual Content),"Feb 12, 2019","Dec 14, 2018",2h,Dolby Digital,Deborah Davis
Scope (2.35:1),$226.3M,James Mangold,"adventure, fantasy, action",https://www.rottentomatoes.com//m/logan_2017,Logan,English,Hutch Parker,"Marvel Entertainment, 20th Century Fox, Hutch Parker Entertainment, Donners' Company",R (Language Throughout|Brief Nudity|Strong Brutal Violence),"May 16, 2017","Mar 3, 2017",2h 17m,Dolby Atmos,James Mangold
35mm,,Elia Kazan,drama,https://www.rottentomatoes.com//m/on_the_waterfront,On the Waterfront,English,Sam Spiegel,Columbia Pictures Corporation,,"Jan 14, 2014",,1h 48m,Mono,Budd Schulberg
,,Lewis Milestone,war,https://www.rottentomatoes.com//m/1000642-all_quiet_on_the_western_front,All Quiet on the Western Front,English,Carl Laemmle Jr.,Universal Pictures,,"Apr 22, 2014",,1h 45m,,Erich Maria Remarque
,,David Hand,"fantasy, animation, kids and family",https://www.rottentomatoes.com//m/1048445-snow_white_and_the_seven_dwarfs,Snow White and the Seven Dwarfs,English,Walt Disney,Walt Disney Productions,G,"Sep 1, 2016",,1h 20m,Stereo,Ted Sears
Scope (2.35:1),$123,J.J. Abrams,"adventure, fantasy, action, sci fi",https://www.rottentomatoes.com//m/star_wars_episode_vii_the_force_awakens,Star Wars: The Force Awakens,English,Kathleen Kennedy,"Lucasfilm Ltd., Bad Robot",PG-13 (Sci-Fi Action Violence),"Apr 1, 2016","Dec 18, 2015",2h 16m,"Dolby Digital, Dolby Atmos",Lawrence Kasdan
Flat (1.85:1),$42.9M,Michael Showalter,romance,https://www.rottentomatoes.com//m/the_big_sick,The Big Sick,English,Judd Apatow,"Apatow Films, FilmNation",R (Some Sexual References|Language),"Jul 10, 2017","Jul 14, 2017",2h,Dolby Digital,Emily V. Gordon
,$435.1M,Steven Spielberg,"adventure, sci fi, kids and family",https://www.rottentomatoes.com//m/et_the_extraterrestrial,E.T. the Extra-Terrestrial,English,Steven Spielberg,Universal Pictures,PG,"Jul 22, 2015",,1h 55m,Surround,Melissa Mathison
Scope (2.35:1),$620.2M,Rian Johnson,"adventure, fantasy, action, sci fi",https://www.rottentomatoes.com//m/star_wars_the_last_jedi,Star Wars: The Last Jedi,English,Kathleen Kennedy,Lucasfilm Ltd.,PG-13 (Violence|Sequences of Sci-Fi Action),"Mar 11, 2018","Dec 15, 2017",2h 32m,"DTS, Dolby Digital, Dolby Atmos",Rian Johnson
,,Billy Wilder,"drama, crime",https://www.rottentomatoes.com//m/double_indemnity,Double Indemnity,English,,Paramount Pictures,,"Oct 1, 2014","Sep 6, 1944",1h 46m,Mono,James M. Cain
,,Noah Baumbach,"drama, comedy",https://www.rottentomatoes.com//m/marriage_story_2019,Marriage Story,English,Noah Baumbach,"Heyday Films, Netflix",R (Sexual References|Language Throughout),"Dec 6, 2019","Nov 6, 2019",2h 16m,,Noah Baumbach
Scope (2.35:1),$38.4M,Paul King,"adventure, comedy, kids and family",https://www.rottentomatoes.com//m/paddington_2,Paddington 2,English (United Kingdom),David Heyman,"Heyday Films, Anton Capital Entertainment",PG (Some Action|Mild Rude Humor),"Mar 6, 2018","Jan 12, 2018",1h 43m,Dolby Atmos,Paul King
,,Charlie Chaplin,"drama, comedy",https://www.rottentomatoes.com//m/1052609-kid,The Kid,,Charlie Chaplin,Charles Chaplin Productions,,"Sep 2, 2016",,1h,,Charlie Chaplin
,$25.4M,Richard Linklater,drama,https://www.rottentomatoes.com//m/boyhood,Boyhood,English,Richard Linklater,Detour Filmproduction,R (Sexual References|Language|Teen Drug and Alcohol Use),"Jan 7, 2016","Jul 18, 2014",2h 45m,,Richard Linklater
,$56.7M,Steve McQueen,"history, biography, drama",https://www.rottentomatoes.com//m/12_years_a_slave,12 Years a Slave,English,Brad Pitt,"River Road, Plan B Entertainment, New Regency Pictures",R (Some Nudity|Brief Sexuality|Violence/Cruelty),"Aug 31, 2015","Oct 18, 2013",2h 14m,"Datasat, Dolby Digital",John Ridley
Scope (2.35:1),$142.4M,Quentin Tarantino,"drama, comedy",https://www.rottentomatoes.com//m/once_upon_a_time_in_hollywood,Once Upon a Time... In Hollywood,English,David Heyman,"Columbia Pictures, Bona Film Group, Heyday Films",R (Language Throughout|Drug Use|Sexual References|Some Strong Graphic Violence),"Aug 27, 2019","Jul 26, 2019",2h 39m,Dolby Digital,Quentin Tarantino
,,Merian C. Cooper,"adventure, fantasy",https://www.rottentomatoes.com//m/1011615-king_kong,King Kong,English,Merian C. Cooper,RKO Radio Pictures Inc.,,"Nov 28, 2008",,1h 40m,,James Ashmore Creelman
Flat (1.37:1),,William Wyler,drama,https://www.rottentomatoes.com//m/best_years_of_our_lives,The Best Years of Our Lives,English,Samuel Goldwyn,Samuel Goldwyn Company,,"Dec 1, 2012","Nov 21, 1946",2h 52m,Mono,Robert E. Sherwood
,$6.0M,Debra Granik,drama,https://www.rottentomatoes.com//m/leave_no_trace,Leave No Trace,English,Anne Harrison,"Harrison Productions, Still Rolling Productions",PG (Thematic Material Throughout),"Sep 25, 2018","Jun 29, 2018",1h 48m,,Debra Granik
Scope (2.35:1),$151.1M,Damien Chazelle,"musical, drama, romance, comedy",https://www.rottentomatoes.com//m/la_la_land,La La Land,English,Fred Berger,"Summit Entertainment, Marc Platt Productions, Gilbert Films",PG-13 (Some Language),"Apr 11, 2017","Dec 25, 2016",2h 8m,"DTS, Dolby Digital, Dolby Atmos",Damien Chazelle
Scope (2.35:1),$390.7M,Jon Watts,"adventure, fantasy, comedy, action",https://www.rottentomatoes.com//m/spider_man_far_from_home,Spider-Man: Far From Home,English,Kevin Feige,"Columbia Pictures, Pascal Pictures, Marvel Studios",PG-13 (Sci-Fi Action Violence|Brief Suggestive Comments|Some Language),"Aug 27, 2019","Jul 2, 2019",2h 9m,"Dolby Digital, Dolby Atmos",Chris McKenna
"Academy (1.33:1), 35mm",,F.W. Murnau,horror,https://www.rottentomatoes.com//m/nosferatu,Nosferatu,,Enrico Dieckmann,Jofa-Atelier Berlin-Johannisthal,,"Jan 16, 2015",,1h 5m,,
"Scope (2.35:1), 70mm",$81.1M,Ridley Scott,"horror, sci fi",https://www.rottentomatoes.com//m/alien,Alien,English,David Giler,"Twentieth Century Fox, Brandywine Productions",R,"Nov 25, 2015","May 25, 1979",1h 57m,"Surround, Magnetic Stereo 6 Track, Dolby Stereo",
,$136.0M,Ben Affleck,"mystery and thriller, drama, history",https://www.rottentomatoes.com//m/argo_2012,Argo,English,Grant Heslov,Smoke House,R (Some Violent Images|Language),"May 15, 2014","Oct 12, 2012",2h,"SDDS, Dolby Digital, Datasat",Chris Terrio
Flat (1.37:1),,Michael Curtiz,"adventure, action",https://www.rottentomatoes.com//m/1000355-adventures_of_robin_hood,The Adventures of Robin Hood,English,Hal B. Wallis,"Warner Brothers, First National Pictures",PG,"Jan 23, 2014","Feb 11, 1938",1h 42m,Mono,Norman Reilly Raine
Flat (1.85:1),$18.0M,Luca Guadagnino,"gay and lesbian, drama, romance",https://www.rottentomatoes.com//m/call_me_by_your_name,Call Me by Your Name,English,Peter Spears,"RT Features, La Cinéfacture, Frenesy Film",R (Sexual Content|Nudity|Some Language),"Feb 23, 2018","Jan 19, 2018",2h 12m,Dolby Digital,James Ivory
,,Byron Howard,"adventure, comedy, animation, kids and family",https://www.rottentomatoes.com//m/zootopia,Zootopia,English,Clark Spencer,Walt Disney Animation Studios,PG (Rude Humor|Action|Some Thematic Elements),"Jun 7, 2016","Mar 4, 2016",1h 48m,Dolby Atmos,Jared Bush
Scope (2.35:1),$608.6M,Brad Bird,"adventure, animation, kids and family, action, comedy",https://www.rottentomatoes.com//m/incredibles_2,Incredibles 2,English,John Walker,"Walt Disney Pictures, Pixar Animation Studios",PG (Some Brief Mild Language|Action Sequences),"Oct 23, 2018","Jun 15, 2018",1h 58m,"DTS, Dolby Digital, Dolby Atmos",Brad Bird
,,Otto Preminger,mystery and thriller,https://www.rottentomatoes.com//m/1012007-laura,Laura,English,Otto Preminger,Twentieth Century Fox,,"Nov 25, 2015",,1h 28m,,Jay Dratler
,,Alfred Hitchcock,"horror, mystery and thriller",https://www.rottentomatoes.com//m/psycho,Psycho,English,Alfred Hitchcock,Paramount,R,"Feb 12, 2014",,1h 49m,Mono,Joseph Stefano
Flat (1.37:1),,Alfred Hitchcock,"drama, mystery and thriller, crime",https://www.rottentomatoes.com//m/1018688-shadow_of_a_doubt,Shadow of a Doubt,English,Jack H. Skirball,Universal Pictures,PG,"Apr 19, 2016","Jan 1, 1943",1h 48m,Mono,Thornton Wilder
,$516.5K,Jean Renoir,"war, drama",https://www.rottentomatoes.com//m/la_grande_illusion,Grand Illusion,French (Canada),Albert Pinkovitch,R.A.C.,,"Feb 14, 2016","Sep 12, 1937",1h 57m,,
,,John Huston,"crime, drama",https://www.rottentomatoes.com//m/1013139-maltese_falcon,The Maltese Falcon,English,,"Warner Brothers, First National Pictures",,"May 19, 2016","Oct 18, 1941",1h 40m,Mono,Dashiell Hammett
